Name,Self-Rating,Experiences,Last Used,First Used,TimeUsed,Media,Roles,IconSource
Python,2,Strong in OOP and with no prior knowledge wrote a webcrawler using BeautifulSoup4 and Pandas.,11/17/2022,2/15/2019,3.75,python-plain.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/rVCPKupj253eJu_r8jwTuA/s04D6NiNqBsB6XU7rFFzlZY8Xi88amStCUFt-ymdDhDyzmIxTaku_PHOM01_WtkqXxBVBwHjm8bYHipIhl9SeGPyLfG1hHs18XQtd3HlRNc/m1Lwf_a8EVwzpnpzdjcSqYMHb8WlrrK8ZVN6derK9mM),"Universal,IOT",
Next JS,3,"The web framework that powers my websites (including this one)!  I'm learning the ins and outs, but I find it incredibly easy to build frontends quickly without serious complications.",7/8/2020,1/1/2020,0.50,next-js.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/dTvtRyIVMohQUJID9N7FmQ/SerkTkHAYFJd5NlyNYmpQwa38RRuZuXvzx9fC_PcM2Lr-zP-kwf2tZ_fdGAx58U_A_IVp6nFumPp7MhMN1p4H5RstLLbRy1vBjRLmXnKR_E/CBbAAHfvjCS9XpSEL3MESfRtN3aOU0kaJv6L3BV3hyo),Universal,
React Hooks,4,"I use hooks as much as possible, whenever possible and am beginning to write my own since the start of 2020.",7/8/2020,3/15/2020,0.25,react-original-wordmark.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/NVlyyuySumkMb9vxxsgT2Q/xs97u3fDhmDliwHo9KYN4ih7iMDdxOj5_oG2f69knW0SZZouAr41R2mWL23CXU632IxfGVoF6PutxC6sKz9TP2SnLoXICP7ACECwLswLN_ad9bB4oL9Dn_FIgOs53CPg/sG9xZ3hAtLrsOEEGZk4mr6kANnGEJkXt2UZ7KOD2Cy8),Universal,
Slack,5,"Know how to set up new Teams, channels and import plugins.",7/8/2020,8/15/2018,1.83,slack-logo-icon-3645855253 (https://v5.airtableusercontent.com/v1/11/11/1668693600000/nyit2EzriKgOddnxjw2Gag/Ikl1b0exgIHClnMYfJQIeS8AlxqRsvoCu32VErjxDynLA_NlAByH39t0VXNj2LiIdCoK3gXgLO1uALMRDadilFZtTSEJd9elJf7YFSNilj7XIMuHImJTObv_XJakM2TJ/93o0JAqGEtfypFAEdmwe-eEzGn7u5KpEXvInI85wI78),Universal,
Jetbrains IDEs,3,"Currently on Rider (.NET), but eager to explore more!",11/17/2022,10/15/2019,3.08,jetbrains-plain.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/hUO1YWY9zRJ2H8VswGcHmQ/PQERQX3Vi-Kisb8Tg9VepL5qntcmRG9OfXfPiT34GPK4J3kow8UlovpTpsNfifzhZNnfWUavncwiuwjQkjmJF7bNjAls46FiaFrHYOvt4ic/lFS2B1WoMeHDCKaPdpALLrzZfcHCWEUw0nWMMjjIwY8),Universal,
Trello,4,"I use this from time to time, and while I've not used it professionally, it is incredibly easy to use!",11/17/2022,1/1/2018,4.83,trello-plain.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/77ipdESAx_hPMpKczpO4gQ/1gNlgFpFX53eDeEU4yfLS77EPek5evho7iCToc789NqKbTKoOwHZnOmpeAJELswRLmGTxg_3syzud_tzbvrHjWdBXtz8v-ON6BMKuuaHW_U/XKkPCs783uNvLFoRA0YSX5MwuqknHdxqj3-RawmzMC4),Universal,
Angular,2,"At my last role, I started using Angular.  While I understand the Typescript and general use of Router, I'm still unfamiliar with a good portion of the framework, but eager to learn more, especially RXJS.",5/15/2020,4/15/2020,0.08,angularjs-plain.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/9SGiDq5QYFIMvmVIPRCRbw/v3bLm1wXd27oYMz_AoQShdjv8Oitv-2DK6uiuBSnjj_zcvUo2sAMXdcnWF11mJQVB1gZdq5TRwBbhgBCv_xXko9rXQYY8vVOT0I4oiwny2s/e65nyQ7hD_VOy5SSlXLv0cZcWYYUpgS7oqBZLKVYZXY),MEAN,
NodeJS,1,I know how to use the ReadFiles and that's about it!,11/17/2022,8/15/2018,4.25,nodejs-plain.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/6b4l5UZFXIIiFLzUTsaeBg/p3fxCaF5WJfMxKWrhEAToDpp2VVH5WVwRweqAD0UDALvJv1LDdnFvFw0j4FjeS9zyJnYcJ08AM0X3gRc4-Q7D_rTTe8usA6sjFF7TG9NaK4/J7uwedWrQhaAXW25lhVr7Q0NZDbO8waWVrAc9At3vlE),MERN,
npm,2,Used to install packages and view interdependencies.  No custom packages to date.,11/17/2022,1/1/2018,4.83,npm-original-wordmark.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/QHvOrmdxMzhM0sqCBC1rSQ/i-79Aipt5qt4HA7m2Ad7mtu3unrxwX3UlNUyIOEtGjkHXiOEkDFa-bTbUkfUEOKS3I0oDi5j07x2Plb2Ftw9aCVbl-zqTgaYevsVRJMijAqxWUbRnnpUtg4WIqvZ05lb/6xS-LeZYFn2x5byspfgtXsn6l3cTkrOET4FqkN5_Cpg),"Universal,MERN",
yarn,3,Familiar with basic CLI commands and scripting my netlify deploys et al.,11/17/2022,1/1/2018,4.83,yarn-original.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/QrNOInSpXyJUFRSLTDl67w/XLnYCjN0OeCN34TPleeGfULfe7iLrPXb8_49EsyFXfLgrpUagC0Q0gsSvu5eX6LSaY6B0Y_todv-o1o7BkufYzG65TjUYvpM4N2krioeJ0Q/4xqbxTamkshc2ZjhPkO47cTvnJfgi3coX3eg9g_VYjE),"Universal,MERN",
Dotnet Core,4,"From my experience using .NET Frameworks 4.5-4.8.1, I have found Core to be very easy and simplify situations like quickly bootstrapping an API.",11/17/2022,7/15/2019,3.33,dot-net-core-7.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/w6rqaE_-IuSp92gaekSIMw/s1IuPjKunymhQCamIcgC7uducHcUd8gH2VycSQAUdvaKb57-5TsIb6qFn4Pw6HrQ9OwuPWKM77gZkuM38EnQixKJtmo54Rj86EpnoSI3xvk/8BnDU3njjjPjBc9BhgvaoEtR8QBeSni_ambmQCUs-ec),".NET,IOT",
Visual Studio,4,"While this mature program is well built and I know my way around it well beyond simple debugging, I prefer Visual Studio Code's extension support and speed.  I still love and run Visual Studio 2019, but it requires fast hardware.",11/17/2022,8/1/2013,9.25,visualstudio-plain.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/IJv2h7XtVBeYlj8SWH1UGw/d4EQVGq0AGTK-jTxP0eH9YNWsXzJLrBGKOwengDD-K98RQFq9BhszBqzIkzX4SoqHGGSvm4ZC71-1r4QdqVD8XMD8E7lUBe7TLo73lq5gmU/qA3dWoBd1CDyuwg5fJysGcvTn0Svy_ReRT5UrR6Ncq0),Universal,
Airtable,3,Powers this site!,11/17/2022,9/15/2019,3.17,airtable.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/TnAENwVxwIX9h7y2ceaNNg/BHUNGgxFZfzvp4jWV9M5g_OhNKmRUTLCAHEu9ICgfvH32-o01zsuw4_QusdwhZgY3fWJ-pSQbgdBDb3k1IINvhAIshji4RxpnK59NT3vUpc/6Ezg77PQCICNC8W7OPR6I_FufpBrKxmtkM-RtObQb9M),Universal,"<a href=""https://iconscout.com/icons/airtable"" target=""_blank"">Airtable Icon</a> by <a href=""https://iconscout.com/contributors/icon-mafia"" target=""_blank"">Icon Mafia</a>"
Postman,3,I've used the CRUD operations for multiple roles and pet projects as well as shared collections in my last role.  Super easy and fun interface for backend API development!,11/17/2022,11/15/2018,4.00,postman-2.png (https://v5.airtableusercontent.com/v1/11/11/1668693600000/5nfGVssmhw-WOpADPUBeOg/ehezV7rF4QiKb791f7gWCtMKcaKeta4CpKrBr6r2abMZsAdEW4muElBpXQZuy34NgGCxrwS54YwrEfvol51qGzkBQWnTKuoh6Hq8qEaU5e0/zH5HUQL1BkgT2rlOwKnA9IzO7uh7PrCkawx3lTdlPHo),Universal,
Sequelize,3,"I last used this at my SMU Bootcamp.  I'm certain I can quickly utilize it, if required in a web project.",5/15/2019,11/15/2018,0.50,sequelize-plain.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/XiCagKT-Ay7EYQ4ikuaVMQ/hCU2D_HsF7Mx4qaUMIY1ghkEqqGsS_KZKrI2ae0IE1wzwBMj3wTX0T_bOIKUI796eEhuutKQotFp4slqbObvE8e0pboZo_hkItgebDIlSrs/stjQZp1cM2JvjzBpR5gwBPd4oqKaOrQ9-G4YURAymSk),MERN,
RXJS,2,"I love this package and wish to make more software with it.  I understand BehaviorSubjects and the base Observable class, pipe operator, debounce and a few others.",5/15/2020,4/15/2020,0.08,rxjs-1.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/367DGu5SaOYKQ1FaWD6j1A/ldB15XNXgQ7gRhdiiD6okvDg3pWPH89FebDyzA4mbfIXV2tANTKKlv8VCLJCHvRLFp3Osqbkd_d5_3o-E7Jy39BSVxGlTVagf5U-9p6gNkE/LThFUxv9hbVyGBmeQTi3EHqDlLZASEKZhrS4cxnZZEQ),Universal,
Linux,3,"I use Arch Linux for my own hobby development code as well as a personal PC.  Having tried out Manjaro (Arch) Linux, I'm hungry for more.",11/17/2022,1/1/2020,2.83,linux-original.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/szpWNCb0wFjUwNxWw_xaVA/eofnYPSE-wJnGar5vt0DGOL1enV22SRLMQ_pO8cCfS99zS5pqHrlfYjT9zbVpzL3TalN-G4f-dDqLcrEeLKo_tWFINblnteGyNmMA4XK-rE/aMwNqe8X5-kKQYvJSPosAnM6ycDwrLJRp0v9NQ9dcic),"Web,IOT",
Wordpress,2,"Familiar with writing blog pages, but not yet with the entire Wordpress ecosystem.",11/17/2022,1/1/2018,4.83,wordpress-plain.svg (https://v5.airtableusercontent.com/v1/11/11/1668693600000/nSBlz0hDEdLzxiLJhd17aQ/OmOENaNZBIX-Pti2rmB7jGX4Lf6f1YmGu8x4XoXtKFLiHUuH6AGTUeCfmL8BXeZ82eBT4G5hhL0aEeuJvtk94fy47CploGxNirUnNIAPVIs/RgODAnObjX4w1BEzXo1ilIDcxopxa6xwictCy2lA3Do),Universal,
